2	179.5	191.6	18909
3	178.6	190.6	19114
4	195.8	190.2	20872
5	177.6	190.4	19102
6	196.6	191.1	21279
7	195.0	191.9	21208
8	186.0	192.8	19953
9	191.1	193.7	20376
10	193.0	194.6	20727
11	197.2	195.5	21310
12	284.4	196	31568
2012 1	147.0	196.5	16107
2	184.5	196.8	20407
3	184.5	197.1	20848
4	198.6	197.6	22348
5	187.2	198.5	21299
6	211.6	199.7	24126
7	196.6	201.2	23042
8	201.3	202.6	23404
9	200.3	203.6	23396
10	200.3	204.5	23349
11	215.1	205.7	25062
12	300.0	207.2	35548
2013 1	148.2	208.8	17502
2	197.1	210.2	23670
3	202.7	211.2	24422
4	216.8	211.4	26419
5	188.0	210.9	23020
6	216.4	210	26441
7	205.8	209.4	26009
8	210.1	209.4	25734
9	202.1	210.2	24841
10	211.8	210.9	26288
11	220.3	210.8	27381
12	310.2	210.2	39759
2014 1	147.6	209.4	18727
2	196.1	208.6	25141
3	189.2	208.5	24602
4	217.8	209.2	28196
5	200.1	210.6	26259
6	208.9	212.1	27587
7	211.9	212.9	28192
8	219.5	212.8	29016
9	203.3	211.9	27132
10	216.5	210.1	28936
11	212.8	207.9	28796
12	286.8	205.6	40972
2015 1	145.4	203.6	20759
2	191.8	202.1	28085
3	185.5	201.6	27621
4	212.9	201.7	31415
5	185.7	202.4	27807
6	202.2	203	30049
7	205.9	203.3	31141
8	209.1	203.1	31355
9	194.3	202.2	29589
10	202.8	200.7	30987
11	200.2	199.1	30721
12	301.5	197.6	46493
2016 1	136.9	196.4	21559
2	184.9	195.4	29007
3	184.8	194.3	29168
4	199.3	192.9	31541
5	176.6	191.8	28155
6	193.6	190.7	30884
7	189.7	190	30714
8	188.8	189.7	30386
9	189.7	189.9	30201
10	191.2	190.3	31002
11	188.2	190.5	30736
12	280.2	190.6	45938
2017 1	151.0	190.7	24615
2	179.7	190.8	29520
3	179.2	190.6	29528
4	185.6	190.4	30760
5	177.4	189.9	29487
6	195.0	189.5	32435
7	183.7	189.1	30917
8	188.5	188.7	31176
9	189.8	188.6	31342
10	188.7	189.2	31238
11	189.2	190.3	31384
12	275.1	191.8	44756
2018 1	139.5	192.9	23506
2	186.1	193.5	31318
3	186.3	193.5	31436
4	194.7	192.7	33025
5	176.5	191.2	30393
6	194.9	189.6	33349
7	186.5	188.2	32425
8	186.2	187.5	31850
9	184.1	187.5	31698
10	190.9	187.9	32962
11	183.3	188.6	32282
12	279.1	189.6	47673
2019 1	139.6	190.7	24496
